frame.number,frame.time,wlan_radio.signal_dbm,wlan_radio.11n.mcs_index,wlan_radio.data_rate
"180","Jul  2, 2020 22:24:19.254639000 AEST","-58","15","144.444"
"181","Jul  2, 2020 22:24:19.357335000 AEST","-58","15","144.444"
"182","Jul  2, 2020 22:24:19.359154000 AEST","-57","15","144.444"
"183","Jul  2, 2020 22:24:19.482805000 AEST","-57","15","144.444"
"184","Jul  2, 2020 22:24:19.561240000 AEST","-57","15","144.444"
"185","Jul  2, 2020 22:24:19.562837000 AEST","-57","15","144.444"
"186","Jul  2, 2020 22:24:19.598445000 AEST","-57","15","144.444"
"187","Jul  2, 2020 22:24:19.600128000 AEST","-57","15","144.444"
"188","Jul  2, 2020 22:24:19.607856000 AEST","-57","15","144.444"
"189","Jul  2, 2020 22:24:19.608275000 AEST","-57","15","144.444"
"190","Jul  2, 2020 22:24:19.617263000 AEST","-57","15","144.444"
"191","Jul  2, 2020 22:24:19.619407000 AEST","-57","15","144.444"
"192","Jul  2, 2020 22:24:19.621273000 AEST","-57","15","144.444"
"193","Jul  2, 2020 22:24:19.971358000 AEST","-57","15","144.444"
"194","Jul  2, 2020 22:24:20.380821000 AEST","-56","15","144.444"
"195","Jul  2, 2020 22:24:20.381092000 AEST","-57","15","144.444"
"196","Jul  2, 2020 22:24:20.486363000 AEST","-56","15","144.444"
"197","Jul  2, 2020 22:24:21.488610000 AEST","-57","15","144.444"
"198","Jul  2, 2020 22:24:21.917379000 AEST","-57","15","144.444"
"199","Jul  2, 2020 22:24:21.917684000 AEST","-57","15","144.444"
"200","Jul  2, 2020 22:24:22.491184000 AEST","-57","15","144.444"
"201","Jul  2, 2020 22:24:23.047360000 AEST","-57","15","144.444"
"202","Jul  2, 2020 22:24:23.056288000 AEST","-57","15","144.444"
"203","Jul  2, 2020 22:24:23.491775000 AEST","-59","15","144.444"
"204","Jul  2, 2020 22:24:23.587354000 AEST","-59","15","144.444"
"205","Jul  2, 2020 22:24:24.493607000 AEST","-58","15","144.444"
"206","Jul  2, 2020 22:24:25.500459000 AEST","-61","15","144.444"
"207","Jul  2, 2020 22:24:25.500717000 AEST","-62","15","144.444"
"208","Jul  2, 2020 22:24:26.058634000 AEST","-62","15","144.444"
"209","Jul  2, 2020 22:24:26.058820000 AEST","-59","13","115.556"
"210","Jul  2, 2020 22:24:26.059016000 AEST","-59","12","78"
"211","Jul  2, 2020 22:24:26.320374000 AEST","-65","15","144.444"
"212","Jul  2, 2020 22:24:26.320617000 AEST","-62","13","115.556"
"213","Jul  2, 2020 22:24:26.322637000 AEST","-64","15","144.444"
"214","Jul  2, 2020 22:24:26.359099000 AEST","-63","15","144.444"
"215","Jul  2, 2020 22:24:26.378105000 AEST","-65","15","144.444"
"216","Jul  2, 2020 22:24:26.502409000 AEST","-62","15","144.444"
"217","Jul  2, 2020 22:24:26.502670000 AEST","-63","15","144.444"
"218","Jul  2, 2020 22:24:26.555332000 AEST","-62","15","144.444"
"219","Jul  2, 2020 22:24:26.555529000 AEST","-62","15","144.444"
"220","Jul  2, 2020 22:24:26.934670000 AEST","-68","15","144.444"
"221","Jul  2, 2020 22:24:26.935103000 AEST","-65","13","115.556"
"222","Jul  2, 2020 22:24:26.936118000 AEST","-65","12","86.6667"
"223","Jul  2, 2020 22:24:27.503727000 AEST","-65","14","130"
"224","Jul  2, 2020 22:24:27.896509000 AEST","-69","14","130"
"225","Jul  2, 2020 22:24:28.034752000 AEST","-67","12","86.6667"
"226","Jul  2, 2020 22:24:28.508716000 AEST","-68","4","43.3333"
"227","Jul  2, 2020 22:24:29.511723000 AEST","-67","4","43.3333"
"228","Jul  2, 2020 22:24:30.512978000 AEST","-66","4","43.3333"
"229","Jul  2, 2020 22:24:30.514186000 AEST","-69","12","86.6667"
"230","Jul  2, 2020 22:24:30.514491000 AEST","-68","12","86.6667"
"231","Jul  2, 2020 22:24:31.518580000 AEST","-63","12","86.6667"
"232","Jul  2, 2020 22:24:32.520006000 AEST","-68","12","86.6667"
"233","Jul  2, 2020 22:24:33.522848000 AEST","-65","12","86.6667"
