frame.number,frame.time,wlan_radio.signal_dbm,wlan_radio.11n.mcs_index,wlan_radio.data_rate,wlan_radio.11n.greenfield
"175","Jul  2, 2020 22:18:58.974499000 AEST","-60","13","115.556","0"
"176","Jul  2, 2020 22:18:58.974767000 AEST","-60","13","115.556","0"
"177","Jul  2, 2020 22:18:58.975077000 AEST","-56","4","43.3333","0"
"178","Jul  2, 2020 22:18:59.136485000 AEST","-58","13","115.556","0"
"179","Jul  2, 2020 22:18:59.187516000 AEST","-60","13","115.556","0"
"180","Jul  2, 2020 22:18:59.188316000 AEST","-60","13","115.556","0"
"181","Jul  2, 2020 22:18:59.239696000 AEST","-61","13","115.556","0"
"182","Jul  2, 2020 22:18:59.240374000 AEST","-61","13","115.556","0"
"183","Jul  2, 2020 22:18:59.275657000 AEST","-61","13","115.556","0"
"184","Jul  2, 2020 22:18:59.277513000 AEST","-61","13","115.556","0"
"185","Jul  2, 2020 22:18:59.278573000 AEST","-61","13","115.556","0"
"186","Jul  2, 2020 22:18:59.294575000 AEST","-60","13","115.556","0"
"187","Jul  2, 2020 22:18:59.315738000 AEST","-59","13","115.556","0"
"188","Jul  2, 2020 22:18:59.338804000 AEST","-59","13","115.556","0"
"189","Jul  2, 2020 22:18:59.353773000 AEST","-59","13","115.556","0"
"190","Jul  2, 2020 22:18:59.367456000 AEST","-58","13","115.556","0"
"191","Jul  2, 2020 22:18:59.370736000 AEST","-58","13","115.556","0"
"192","Jul  2, 2020 22:18:59.372660000 AEST","-58","13","115.556","0"
"193","Jul  2, 2020 22:18:59.376268000 AEST","-58","13","115.556","0"
"194","Jul  2, 2020 22:18:59.376801000 AEST","-58","13","115.556","0"
"195","Jul  2, 2020 22:18:59.378029000 AEST","-58","13","115.556","0"
"196","Jul  2, 2020 22:18:59.382569000 AEST","-58","13","115.556","0"
"197","Jul  2, 2020 22:18:59.383547000 AEST","-58","13","115.556","0"
"198","Jul  2, 2020 22:18:59.417545000 AEST","-58","13","115.556","0"
"199","Jul  2, 2020 22:18:59.418534000 AEST","-58","13","115.556","0"
"200","Jul  2, 2020 22:18:59.445722000 AEST","-58","13","115.556","0"
"201","Jul  2, 2020 22:18:59.445996000 AEST","-58","13","115.556","0"
"202","Jul  2, 2020 22:18:59.446289000 AEST","-58","13","115.556","0"
"203","Jul  2, 2020 22:18:59.450174000 AEST","-58","13","115.556","0"
"204","Jul  2, 2020 22:18:59.450551000 AEST","-58","13","115.556","0"
"205","Jul  2, 2020 22:18:59.450921000 AEST","-58","13","115.556","0"
"206","Jul  2, 2020 22:18:59.575490000 AEST","-58","13","115.556","0"
"207","Jul  2, 2020 22:18:59.622434000 AEST","-59","13","115.556","0"
"208","Jul  2, 2020 22:18:59.623266000 AEST","-59","13","115.556","0"
"209","Jul  2, 2020 22:18:59.642618000 AEST","-59","13","115.556","0"
"210","Jul  2, 2020 22:18:59.780052000 AEST","-60","13","115.556","0"
"211","Jul  2, 2020 22:18:59.781557000 AEST","-60","13","115.556","0"
"212","Jul  2, 2020 22:18:59.799470000 AEST","-60","13","115.556","0"
"213","Jul  2, 2020 22:18:59.823995000 AEST","-61","13","115.556","0"
"214","Jul  2, 2020 22:18:59.866491000 AEST","-61","13","115.556","0"
"215","Jul  2, 2020 22:18:59.957504000 AEST","-62","13","115.556","0"
"216","Jul  2, 2020 22:19:00.028095000 AEST","-64","13","115.556","0"
"217","Jul  2, 2020 22:19:00.028496000 AEST","-64","13","115.556","0"
"218","Jul  2, 2020 22:19:00.233565000 AEST","-61","13","115.556","0"
"219","Jul  2, 2020 22:19:00.245374000 AEST","-62","13","115.556","0"
"220","Jul  2, 2020 22:19:00.276815000 AEST","-63","13","115.556","0"
"221","Jul  2, 2020 22:19:00.577511000 AEST","-63","13","115.556","0"
"222","Jul  2, 2020 22:19:00.577867000 AEST","-63","13","115.556","0"
"223","Jul  2, 2020 22:19:00.579465000 AEST","-62","13","115.556","0"
"224","Jul  2, 2020 22:19:00.592457000 AEST","-63","13","115.556","0"
"225","Jul  2, 2020 22:19:00.634272000 AEST","-63","13","115.556","0"
