"No.","Time","Source","Destination","Protocol","Length","Signal strength (dBm)","Noise level (dBm)","Signal/noise ratio (dB)","Info"
"792","13.888365","46:b3:2c:81:00:f3","Broadcast","802.11","244","-49dBm","-86dBm","37dB","Beacon frame, SN=2456, FN=0, Flags=........C, BI=300, SSID=COMP4336"
"793","14.195460","46:b3:2c:81:00:f3","Broadcast","802.11","244","-49dBm","-85dBm","36dB","Beacon frame, SN=2457, FN=0, Flags=........C, BI=300, SSID=COMP4336"
"797","15.731475","46:b3:2c:81:00:f3","Broadcast","802.11","244","-51dBm","-85dBm","34dB","Beacon frame, SN=2462, FN=0, Flags=........C, BI=300, SSID=COMP4336"
"825","16.039969","46:b3:2c:81:00:f3","Broadcast","802.11","244","-54dBm","-84dBm","30dB","Beacon frame, SN=2463, FN=0, Flags=........C, BI=300, SSID=COMP4336"
"829","16.345988","46:b3:2c:81:00:f3","Broadcast","802.11","244","-61dBm","-84dBm","23dB","Beacon frame, SN=2464, FN=0, Flags=........C, BI=300, SSID=COMP4336"
"849","16.653088","46:b3:2c:81:00:f3","Broadcast","802.11","244","-57dBm","-84dBm","27dB","Beacon frame, SN=2465, FN=0, Flags=........C, BI=300, SSID=COMP4336"
"896","18.496406","46:b3:2c:81:00:f3","Broadcast","802.11","244","-60dBm","-84dBm","24dB","Beacon frame, SN=2471, FN=0, Flags=........C, BI=300, SSID=COMP4336"
"942","18.803619","46:b3:2c:81:00:f3","Broadcast","802.11","244","-63dBm","-84dBm","21dB","Beacon frame, SN=2472, FN=0, Flags=........C, BI=300, SSID=COMP4336"
"947","19.110696","46:b3:2c:81:00:f3","Broadcast","802.11","244","-62dBm","-85dBm","23dB","Beacon frame, SN=2473, FN=0, Flags=........C, BI=300, SSID=COMP4336"
"980","19.418002","46:b3:2c:81:00:f3","Broadcast","802.11","244","-66dBm","-85dBm","19dB","Beacon frame, SN=2474, FN=0, Flags=........C, BI=300, SSID=COMP4336"
"1108","20.954038","46:b3:2c:81:00:f3","Broadcast","802.11","244","-66dBm","-85dBm","19dB","Beacon frame, SN=2479, FN=0, Flags=........C, BI=300, SSID=COMP4336"
"1115","21.261256","46:b3:2c:81:00:f3","Broadcast","802.11","244","-60dBm","-86dBm","26dB","Beacon frame, SN=2480, FN=0, Flags=........C, BI=300, SSID=COMP4336"
"1136","21.568313","46:b3:2c:81:00:f3","Broadcast","802.11","244","-68dBm","-86dBm","18dB","Beacon frame, SN=2481, FN=0, Flags=........C, BI=300, SSID=COMP4336"
"1139","21.875656","46:b3:2c:81:00:f3","Broadcast","802.11","244","-66dBm","-86dBm","20dB","Beacon frame, SN=2482, FN=0, Flags=........C, BI=300, SSID=COMP4336"
"1151","23.411572","46:b3:2c:81:00:f3","Broadcast","802.11","244","-70dBm","-86dBm","16dB","Beacon frame, SN=2487, FN=0, Flags=........C, BI=300, SSID=COMP4336"
"1189","23.718870","46:b3:2c:81:00:f3","Broadcast","802.11","244","-72dBm","-86dBm","14dB","Beacon frame, SN=2488, FN=0, Flags=........C, BI=300, SSID=COMP4336"
"1192","24.026118","46:b3:2c:81:00:f3","Broadcast","802.11","244","-71dBm","-86dBm","15dB","Beacon frame, SN=2489, FN=0, Flags=........C, BI=300, SSID=COMP4336"
"1219","24.333274","46:b3:2c:81:00:f3","Broadcast","802.11","244","-74dBm","-86dBm","12dB","Beacon frame, SN=2490, FN=0, Flags=........C, BI=300, SSID=COMP4336[Malformed Packet]"
"1554","26.483597","46:b3:2c:81:00:f3","Broadcast","802.11","244","-69dBm","-85dBm","16dB","Beacon frame, SN=2497, FN=0, Flags=........C, BI=300, SSID=COMP4336"
"1565","26.790896","46:b3:2c:81:00:f3","Broadcast","802.11","244","-73dBm","-85dBm","12dB","Beacon frame, SN=2498, FN=0, Flags=........C, BI=300, SSID=COMP4336"
"1585","27.097990","46:b3:2c:81:00:f3","Broadcast","802.11","244","-74dBm","-85dBm","11dB","Beacon frame, SN=2499, FN=0, Flags=........C, BI=300, SSID=COMP4336"
